Symbol,Shares,Total,Price,Transaction Type,Transaction Date
GOOGL,1,713.17,Buy,2024-07-0519:13:00
PLD,0.08,34.31,Buy,2024-07-0519:00:00
AEYE,0.48,37.54,Buy,2024-07-0518:59:00
SRPT,0.06,34.20,Buy,2024-07-0518:59:00
TSLA,1,931.54,Buy,2024-07-0518:57:00
OPAL,5,75.19,Buy,2024-07-0319:02:00
TSLA,0.24,220.76,Sell,2024-07-0317:32:00
ONTO,0.08,67.72,Buy,2024-07-0317:31:00
MORN,0.06,67.54,Buy,2024-07-0317:28:00
AEYE,0.49,37.46,Buy,2024-07-0317:26:00
SRPT,0.06,35.10,Buy,2024-07-0217:27:00
AEYE,0.52,37.31,Buy,2024-07-0217:27:00
VERX,0.28,37.27,Buy,2024-07-0217:26:00
ENTG,0.07,35.14,Buy,2024-07-0217:25:00
ALNY,0.04,36.86,Buy,2024-07-0217:25:00
GWW,0.01,33.79,Buy,2024-07-0217:24:00
NNE,5,542.62,Buy,2024-07-0117:00:00
SRPT,0.06,35.59,Buy,2024-06-2722:59:00
DECK,0.01,37.50,Buy,2024-06-2722:59:00
ALNY,0.04,37.05,Buy,2024-06-2722:58:00
AEYE,0.52,33.52,Buy,2024-06-2722:57:00
NVDA,1.79,804.30,Buy,2024-06-1016:31:00
NVDA,1.7,766.61,Sell,2024-06-1016:30:00
NVDA,0.16,717.11,Buy,2024-06-0620:05:00
AXNX,0.5,125.70,Buy,2024-06-0620:03:00
DDOG,0.3,123.64,Buy,2024-06-0620:01:00
LCID,5,50.06,Buy,2024-03-1417:09:00
GOOGL,0.01,5.32,Buy,2024-03-1417:08:00
AMZN,0.01,6.64,Buy,2024-03-1417:07:00
AMD,0.01,7.20,Buy,2024-03-1417:07:00
AAPL,0.01,6.49,Buy,2024-03-1417:07:00
LCID,5,54.37,Buy,2024-03-1321:07:00
TSLA,0.01,6.41,Buy,2024-03-1317:44:00
GOOGL,0.01,5.29,Buy,2024-03-1317:42:00
AMZN,0.01,6.64,Buy,2024-03-1317:42:00
AMD,0.01,7.31,Buy,2024-03-1317:42:00
AAPL,0.01,6.41,Buy,2024-03-1317:42:00
LCID,10,110.96,Buy,2024-03-1216:35:00
AMD,0.01,7.50,Buy,2024-03-1216:32:00
AAPL,0.01,6.49,Buy,2024-03-1216:32:00
AMD,0.01,7.84,Buy,2024-03-0823:38:00
MSFT,0.01,15.22,Buy,2024-03-0823:36:00
AMZN,0.01,6.56,Buy,2024-03-0823:35:00
GOOGL,0.01,5.10,Buy,2024-03-0823:35:00
AAPL,0.01,6.45,Buy,2024-03-0823:35:00
NVDA,0.01,33.07,Buy,2024-03-0823:32:00
LCID,33,375.60,Buy,2024-02-2223:08:00
LCID,5,58.12,Buy,2024-02-2218:20:00
LCID,4,46.50,Buy,2024-02-2218:20:00
MDB,0.06,104.77,Buy,2024-02-1622:59:00
SRPT,0.21,106.46,Sell,2024-02-1622:57:00
NVDA,0.06,139.50,Sell,2024-02-0118:55:00
LCID,59,825.22,Buy,2024-01-3021:00:00
LCID,20,276.37,Buy,2024-01-3020:45:00
ELF,0.32,191.32,Sell,2024-01-3020:43:00
LLY,0.04,96.60,Sell,2024-01-3020:42:00
AMZN,0.26,155.36,Buy,2024-01-2918:45:00
TSLA,0.22,152.59,Buy,2024-01-2918:45:00
NVDA,0.06,138.79,Buy,2024-01-2918:45:00
AAPL,0.22,157.42,Buy,2024-01-2918:44:00
LLY,0.04,96.52,Buy,2024-01-2918:42:00
SRPT,0.21,95.32,Buy,2024-01-2918:33:00
ELF,0.16,95.14,Buy,2024-01-2918:30:00
ELF,0.16,95.17,Buy,2024-01-2918:24:00
LCID,6,68.85,Buy,2024-01-1218:17:00
GOOGL,1,533.92,Buy,2024-01-1118:51:00
